symboling,make,fuel-type,body-style,drive-wheels,wheel-base,length,width,height,horsepower,peak-rpm,highway-mpg,city-mpg,normalized-losses,engine-location,engine-type,engine-size,price
3,alfa-romero,gas,convertible,rwd,88.6,168.8,64.1,48.8,111,5000,27,21,?,front,dohc,130,13495
3,alfa-romero,gas,convertible,rwd,88.6,168.8,64.1,48.8,111,5000,27,21,?,front,dohc,130,16500
1,alfa-romero,gas,hatchback,rwd,94.5,171.2,65.5,52.4,154,5000,26,19,?,front,ohcv,152,16500
2,audi,gas,sedan,fwd,99.8,176.6,66.2,54.3,102,5500,30,24,164,front,ohc,109,13950
2,audi,gas,sedan,4wd,99.4,176.6,66.4,54.3,115,5500,22,18,164,front,ohc,136,17450
2,audi,gas,sedan,fwd,99.8,177.3,66.3,53.1,110,5500,25,19,?,front,ohc,136,15250
1,audi,gas,sedan,fwd,105.8,192.7,71.4,55.7,110,5500,25,19,158,front,ohc,136,17710
1,audi,gas,wagon,fwd,105.8,192.7,71.4,55.7,110,5500,25,19,?,front,ohc,136,18920
1,audi,gas,sedan,fwd,105.8,192.7,71.4,55.9,140,5500,20,17,158,front,ohc,131,23875
0,audi,gas,hatchback,4wd,99.5,178.2,67.9,52.0,160,5500,22,16,?,front,ohc,131,12000
2,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,101,5800,29,23,192,front,ohc,108,16430
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,101,5800,29,23,192,front,ohc,108,16925
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,121,4250,28,21,188,front,ohc,164,20970
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,121,4250,28,21,188,front,ohc,164,21105
1,bmw,gas,sedan,rwd,103.5,189.0,66.9,55.7,121,4250,25,20,?,front,ohc,164,24565
0,bmw,gas,sedan,rwd,103.5,189.0,66.9,55.7,182,5400,22,16,?,front,ohc,209,30760
0,bmw,gas,sedan,rwd,103.5,193.8,67.9,53.7,182,5400,22,16,?,front,ohc,209,41315
0,bmw,gas,sedan,rwd,110.0,197.0,70.9,56.3,182,5400,20,15,?,front,ohc,209,36880
2,chevrolet,gas,hatchback,fwd,88.4,141.1,60.3,53.2,48,5100,53,47,121,front,l,61,5151
1,chevrolet,gas,hatchback,fwd,94.5,155.9,63.6,52.0,70,5400,43,38,98,front,ohc,90,6295
0,chevrolet,gas,sedan,fwd,94.5,158.8,63.6,52.0,70,5400,43,38,81,front,ohc,90,6575
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,41,37,118,front,ohc,90,5572
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,38,31,118,front,ohc,90,6377
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,102,5500,30,24,118,front,ohc,98,7957
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,148,front,ohc,90,6229
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,148,front,ohc,90,6692
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,148,front,ohc,90,7609
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,102,5500,30,24,148,front,ohc,98,8558
-1,dodge,gas,wagon,fwd,103.3,174.6,64.6,59.8,88,5000,30,24,110,front,ohc,122,8921
3,dodge,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,145,front,ohc,156,12964
2,honda,gas,hatchback,fwd,86.6,144.6,63.9,50.8,58,4800,54,49,137,front,ohc,92,6479
2,honda,gas,hatchback,fwd,86.6,144.6,63.9,50.8,76,6000,38,31,137,front,ohc,92,6855
1,honda,gas,hatchback,fwd,93.7,150.0,64.0,52.6,60,5500,42,38,101,front,ohc,79,5399
1,honda,gas,hatchback,fwd,93.7,150.0,64.0,52.6,76,6000,34,30,101,front,ohc,92,6529
